year,industry1,at_least_one,parttime_work,flexihours,staggered_hours,teleworking,homeworking,job_sharing,compressed_work_week
2011,manufacturing,29.7,20.6,8,4.2,2.3,0.9,0.6,na
2011,construction,24.4,17.8,6.2,4.3,0.6,0.7,0.2,na
2011,services,44.8,35.3,7.9,9.2,4.1,0.8,0.9,na
2012,manufacturing,29.3,20.3,7.2,5.1,2.5,0.6,0.3,na
2012,construction,24.4,18.2,6.8,3.3,3,0.2,0.4,na
2012,services,50.5,42.2,8.8,8.8,4.3,1.1,0.6,na
2013,manufacturing,35.8,25.1,8.1,7.2,3.5,0.9,0.3,na
2013,construction,24,18.3,6,2.7,2.4,0.9,-,na
2013,services,52.9,41,12.7,13.6,6.8,0.9,0.3,na
2014,manufacturing,36.3,24.8,11.4,7.5,5,1.4,0.1,na
2014,construction,30.8,22.6,8.5,4.1,3.5,0.6,-,na
2014,services,55.4,44.2,12.6,13.9,6.2,1,0.6,na
2015,manufacturing,37.7,24.7,12.2,7.8,5.2,0.8,0.4,1.2
2015,construction,28.7,17.7,10.4,4.4,3.7,0.2,-,0.3
2015,services,55.2,39.9,17.4,13.8,7.5,0.8,0.6,0.8
2016,manufacturing,40.4,28.1,12.2,8.9,5.1,1.2,0.2,0.3
2016,construction,28.3,19.3,8.9,4.2,2.3,-,0.4,0.6
2016,services,55.3,42.7,16.9,15.9,7.4,0.2,0.4,1.9
2017,manufacturing,40.1,26,15.3,8.3,4.2,0.3,-,0.4
2017,construction,30.2,17,13,4.2,2.5,-,-,0.7
2017,services,59.2,44.9,17.3,16.4,8.3,1,1.1,1.5
2018,manufacturing,42.7,28.9,12.5,14.1,5.4,1.2,1.1,1.7
2018,construction,32,17.4,11.8,11.1,1.7,1.6,2.6,2.9
2018,services,62.8,47.9,18.5,22,10.7,1,1.6,3.5
2019,manufacturing,47,28.3,14.9,16.5,6.5,1,0.8,1.4
2019,construction,28.8,17.1,12.7,7.8,1,-,0.8,1.4
2019,services,61.3,44.5,17.7,22.7,8.1,1.2,1.4,1.8
2020,manufacturing,76.4,31,38.3,42.2,45.6,12,14.4,10.8
2020,construction,65.2,23.7,33.6,34.2,43.3,13.1,18.6,10.7
2020,services,82.9,53,43.6,48.4,46.9,8.1,13.9,9.9
2021,manufacturing,90.8,36.1,48.6,45.7,58.1,1.1,17.5,7.3
2021,construction,84.4,32.1,40.3,37.5,50.1,2.4,14.1,6.5
2021,services,92.3,56,51.8,53.3,57.8,2.2,15.4,8.1
2022,manufacturing,64.7,26.3,31.9,30.9,30.9,7.8,13.1,16.2
2022,construction,59.4,22.5,31.4,25.9,24.1,9.1,17.2,14.8
2022,services,76.4,43.4,40.1,39.2,37.1,8.9,15.4,17.8
2023,manufacturing,58.8,25.7,33.8,24.5,25.9,7.5,17.1,12.3
2023,construction,58.1,22.5,32.6,21.8,25.6,12.3,22.4,13.8
2023,services,73.1,39.4,43.1,35.4,34.7,9.6,18.5,13.2
